step     5000 | reward(last100)  0.0158 | sigma 0.0309 | elapsed    4.4s
step   740000 | reward(last100)  0.4609 | sigma 0.0246 | elapsed 2689.9s
step   745000 | reward(last100)  0.3423 | sigma 0.0246 | elapsed 2712.6s
step   750000 | reward(last100)  0.4188 | sigma 0.0246 | elapsed 2735.3s
step   755000 | reward(last100)  0.4430 | sigma 0.0246 | elapsed 2758.6s
step   760000 | reward(last100)  0.3936 | sigma 0.0246 | elapsed 2780.5s
step   765000 | reward(last100)  0.3876 | sigma 0.0246 | elapsed 2797.3s
step   770000 | reward(last100)  0.4291 | sigma 0.0247 | elapsed 2812.9s
step   775000 | reward(last100)  0.4249 | sigma 0.0246 | elapsed 2828.6s
step   780000 | reward(last100)  0.4239 | sigma 0.0247 | elapsed 2844.4s
step   785000 | reward(last100)  0.4292 | sigma 0.0246 | elapsed 2860.1s
step   790000 | reward(last100)  0.4222 | sigma 0.0247 | elapsed 2875.8s
step   795000 | reward(last100)  0.4316 | sigma 0.0246 | elapsed 2891.5s
step   800000 | reward(last100)  0.4379 | sigma 0.0246 | elapsed 2907.4s
step   805000 | reward(last100)  0.3924 | sigma 0.0246 | elapsed 2924.2s
step   810000 | reward(last100)  0.4321 | sigma 0.0246 | elapsed 2941.6s
step   815000 | reward(last100)  0.3821 | sigma 0.0247 | elapsed 2962.9s
step   820000 | reward(last100)  0.3191 | sigma 0.0247 | elapsed 2981.6s
step   825000 | reward(last100)  0.4344 | sigma 0.0246 | elapsed 2997.9s
step   830000 | reward(last100)  0.3978 | sigma 0.0247 | elapsed 3013.9s
step   835000 | reward(last100)  0.3154 | sigma 0.0247 | elapsed 3029.9s
step   840000 | reward(last100)  0.4843 | sigma 0.0247 | elapsed 3052.7s
step   845000 | reward(last100)  0.4041 | sigma 0.0247 | elapsed 3075.7s
step   850000 | reward(last100)  0.3722 | sigma 0.0247 | elapsed 3098.7s
step   855000 | reward(last100)  0.4208 | sigma 0.0246 | elapsed 3116.6s
step   860000 | reward(last100)  0.3545 | sigma 0.0246 | elapsed 3137.3s
step   865000 | reward(last100)  0.4223 | sigma 0.0246 | elapsed 3157.8s
step   870000 | reward(last100)  0.3473 | sigma 0.0246 | elapsed 3173.5s
step   875000 | reward(last100)  0.3902 | sigma 0.0246 | elapsed 3190.8s
step   880000 | reward(last100)  0.3487 | sigma 0.0246 | elapsed 3209.9s
step   885000 | reward(last100)  0.4282 | sigma 0.0246 | elapsed 3232.4s
step   890000 | reward(last100)  0.3203 | sigma 0.0246 | elapsed 3252.9s
step   895000 | reward(last100)  0.3790 | sigma 0.0246 | elapsed 3272.9s
step   900000 | reward(last100)  0.4107 | sigma 0.0246 | elapsed 3291.4s
step   905000 | reward(last100)  0.4222 | sigma 0.0247 | elapsed 3313.9s
step   910000 | reward(last100)  0.4430 | sigma 0.0247 | elapsed 3336.7s
step   915000 | reward(last100)  0.4479 | sigma 0.0247 | elapsed 3359.7s
step   920000 | reward(last100)  0.3834 | sigma 0.0247 | elapsed 3379.8s
step   925000 | reward(last100)  0.4677 | sigma 0.0247 | elapsed 3397.0s
step   930000 | reward(last100)  0.4081 | sigma 0.0247 | elapsed 3412.9s
step   935000 | reward(last100)  0.3196 | sigma 0.0247 | elapsed 3429.3s
step   940000 | reward(last100)  0.4326 | sigma 0.0247 | elapsed 3445.5s
step   945000 | reward(last100)  0.3196 | sigma 0.0247 | elapsed 3461.4s
step   950000 | reward(last100)  0.3894 | sigma 0.0246 | elapsed 3477.5s
step   955000 | reward(last100)  0.3532 | sigma 0.0246 | elapsed 3495.4s
step   960000 | reward(last100)  0.4091 | sigma 0.0246 | elapsed 3512.1s
step   965000 | reward(last100)  0.4155 | sigma 0.0247 | elapsed 3529.5s
step   970000 | reward(last100)  0.2371 | sigma 0.0247 | elapsed 3546.8s
step   975000 | reward(last100)  0.4219 | sigma 0.0247 | elapsed 3564.1s
step   980000 | reward(last100)  0.4185 | sigma 0.0247 | elapsed 3581.5s
step   985000 | reward(last100)  0.3552 | sigma 0.0247 | elapsed 3599.0s
step   990000 | reward(last100)  0.3853 | sigma 0.0247 | elapsed 3616.5s
step   995000 | reward(last100)  0.3832 | sigma 0.0247 | elapsed 3633.4s
step  1000000 | reward(last100)  0.3669 | sigma 0.0247 | elapsed 3649.3s
step  1005000 | reward(last100)  0.4156 | sigma 0.0246 | elapsed 3668.9s
step  1010000 | reward(last100)  0.3822 | sigma 0.0246 | elapsed 3686.5s
step  1015000 | reward(last100)  0.3971 | sigma 0.0246 | elapsed 3703.9s
step  1020000 | reward(last100)  0.4144 | sigma 0.0246 | elapsed 3720.5s
step  1025000 | reward(last100)  0.4071 | sigma 0.0246 | elapsed 3736.9s
step  1030000 | reward(last100)  0.4095 | sigma 0.0246 | elapsed 3752.9s
step  1035000 | reward(last100)  0.4186 | sigma 0.0246 | elapsed 3772.7s
step  1040000 | reward(last100)  0.4191 | sigma 0.0246 | elapsed 3795.9s
step  1045000 | reward(last100)  0.4040 | sigma 0.0246 | elapsed 3819.0s
step  1050000 | reward(last100)  0.4003 | sigma 0.0246 | elapsed 3842.3s
step  1055000 | reward(last100)  0.3184 | sigma 0.0246 | elapsed 3861.1s
step  1060000 | reward(last100)  0.4526 | sigma 0.0246 | elapsed 3878.7s
step  1065000 | reward(last100)  0.3719 | sigma 0.0246 | elapsed 3894.8s
step  1070000 | reward(last100)  0.3094 | sigma 0.0246 | elapsed 3910.7s
step  1075000 | reward(last100)  0.4282 | sigma 0.0246 | elapsed 3927.6s
step  1080000 | reward(last100)  0.3969 | sigma 0.0246 | elapsed 3943.7s
step  1085000 | reward(last100)  0.4382 | sigma 0.0246 | elapsed 3959.9s
step  1090000 | reward(last100)  0.3735 | sigma 0.0246 | elapsed 3980.6s
step  1095000 | reward(last100)  0.4583 | sigma 0.0246 | elapsed 4002.4s
step  1100000 | reward(last100)  0.3334 | sigma 0.0246 | elapsed 4022.4s
step  1105000 | reward(last100)  0.3844 | sigma 0.0246 | elapsed 4038.7s
step  1110000 | reward(last100)  0.3770 | sigma 0.0246 | elapsed 4054.6s
step  1115000 | reward(last100)  0.4184 | sigma 0.0246 | elapsed 4071.3s
step  1120000 | reward(last100)  0.4735 | sigma 0.0245 | elapsed 4088.9s
step  1125000 | reward(last100)  0.3668 | sigma 0.0246 | elapsed 4108.7s
step  1130000 | reward(last100)  0.4508 | sigma 0.0246 | elapsed 4126.8s
step  1135000 | reward(last100)  0.3943 | sigma 0.0246 | elapsed 4144.1s
step  1140000 | reward(last100)  0.4037 | sigma 0.0245 | elapsed 4162.4s
step  1145000 | reward(last100)  0.4348 | sigma 0.0245 | elapsed 4178.3s
step  1150000 | reward(last100)  0.4432 | sigma 0.0246 | elapsed 4194.1s
step  1155000 | reward(last100)  0.3908 | sigma 0.0245 | elapsed 4213.7s
step  1160000 | reward(last100)  0.4623 | sigma 0.0245 | elapsed 4230.4s
step  1165000 | reward(last100)  0.3973 | sigma 0.0245 | elapsed 4246.3s
step  1170000 | reward(last100)  0.3933 | sigma 0.0245 | elapsed 4262.2s
step  1175000 | reward(last100)  0.4638 | sigma 0.0245 | elapsed 4278.2s
step  1180000 | reward(last100)  0.3664 | sigma 0.0245 | elapsed 4294.2s
step  1185000 | reward(last100)  0.5184 | sigma 0.0245 | elapsed 4311.7s
step  1190000 | reward(last100)  0.3712 | sigma 0.0245 | elapsed 4329.6s
step  1195000 | reward(last100)  0.4371 | sigma 0.0245 | elapsed 4345.5s
step  1200000 | reward(last100)  0.4323 | sigma 0.0245 | elapsed 4363.0s
step  1205000 | reward(last100)  0.4765 | sigma 0.0245 | elapsed 4380.9s
step  1210000 | reward(last100)  0.3737 | sigma 0.0245 | elapsed 4398.3s
step  1215000 | reward(last100)  0.4115 | sigma 0.0245 | elapsed 4416.0s
step  1220000 | reward(last100)  0.3573 | sigma 0.0245 | elapsed 4434.0s
step  1225000 | reward(last100)  0.4162 | sigma 0.0244 | elapsed 4455.0s
step  1230000 | reward(last100)  0.4207 | sigma 0.0244 | elapsed 4475.9s
step  1235000 | reward(last100)  0.3763 | sigma 0.0244 | elapsed 4496.9s
step  1240000 | reward(last100)  0.3888 | sigma 0.0244 | elapsed 4515.7s
step  1245000 | reward(last100)  0.3966 | sigma 0.0245 | elapsed 4532.7s
step  1250000 | reward(last100)  0.3490 | sigma 0.0244 | elapsed 4549.7s
step  1255000 | reward(last100)  0.4584 | sigma 0.0244 | elapsed 4567.1s
step  1260000 | reward(last100)  0.3898 | sigma 0.0244 | elapsed 4584.0s
step  1265000 | reward(last100)  0.4064 | sigma 0.0244 | elapsed 4600.6s
step  1270000 | reward(last100)  0.3996 | sigma 0.0244 | elapsed 4621.0s
step  1275000 | reward(last100)  0.3420 | sigma 0.0244 | elapsed 4640.7s
step  1280000 | reward(last100)  0.4461 | sigma 0.0244 | elapsed 4657.4s
step  1285000 | reward(last100)  0.3294 | sigma 0.0244 | elapsed 4674.1s
step  1290000 | reward(last100)  0.3583 | sigma 0.0244 | elapsed 4690.1s
step  1295000 | reward(last100)  0.4873 | sigma 0.0244 | elapsed 4706.0s
step  1300000 | reward(last100)  0.3841 | sigma 0.0244 | elapsed 4725.2s
step  1305000 | reward(last100)  0.3464 | sigma 0.0244 | elapsed 4742.9s
step  1310000 | reward(last100)  0.4319 | sigma 0.0244 | elapsed 4758.8s
step  1315000 | reward(last100)  0.4599 | sigma 0.0243 | elapsed 4779.6s
step  1320000 | reward(last100)  0.3834 | sigma 0.0244 | elapsed 4795.7s
step  1325000 | reward(last100)  0.2658 | sigma 0.0243 | elapsed 4812.1s
step  1330000 | reward(last100)  0.3822 | sigma 0.0243 | elapsed 4829.0s
step  1335000 | reward(last100)  0.3979 | sigma 0.0243 | elapsed 4845.9s
step  1340000 | reward(last100)  0.3715 | sigma 0.0243 | elapsed 4862.9s
step  1345000 | reward(last100)  0.3811 | sigma 0.0243 | elapsed 4879.9s
step  1350000 | reward(last100)  0.4183 | sigma 0.0243 | elapsed 4896.9s
step  1355000 | reward(last100)  0.3470 | sigma 0.0243 | elapsed 4915.0s
step  1360000 | reward(last100)  0.3944 | sigma 0.0242 | elapsed 4932.7s
step  1365000 | reward(last100)  0.4003 | sigma 0.0243 | elapsed 4949.4s
step  1370000 | reward(last100)  0.3919 | sigma 0.0243 | elapsed 4965.4s
step  1375000 | reward(last100)  0.3990 | sigma 0.0242 | elapsed 4981.4s
step  1380000 | reward(last100)  0.3380 | sigma 0.0242 | elapsed 4997.4s
step  1385000 | reward(last100)  0.4616 | sigma 0.0243 | elapsed 5013.4s
step  1390000 | reward(last100)  0.4123 | sigma 0.0243 | elapsed 5029.5s
step  1395000 | reward(last100)  0.3196 | sigma 0.0243 | elapsed 5047.3s
step  1400000 | reward(last100)  0.4159 | sigma 0.0243 | elapsed 5065.1s
step  1405000 | reward(last100)  0.3874 | sigma 0.0243 | elapsed 5083.2s
step  1410000 | reward(last100)  0.4571 | sigma 0.0243 | elapsed 5101.1s
step  1415000 | reward(last100)  0.3556 | sigma 0.0243 | elapsed 5118.9s
step  1420000 | reward(last100)  0.4134 | sigma 0.0243 | elapsed 5134.9s
step  1425000 | reward(last100)  0.3634 | sigma 0.0243 | elapsed 5150.9s
step  1430000 | reward(last100)  0.3922 | sigma 0.0243 | elapsed 5166.9s
step  1435000 | reward(last100)  0.4564 | sigma 0.0243 | elapsed 5182.7s
step  1440000 | reward(last100)  0.4727 | sigma 0.0243 | elapsed 5198.5s
step  1445000 | reward(last100)  0.4349 | sigma 0.0243 | elapsed 5214.4s
step  1450000 | reward(last100)  0.3643 | sigma 0.0243 | elapsed 5230.4s
step  1455000 | reward(last100)  0.2988 | sigma 0.0243 | elapsed 5253.5s
step  1460000 | reward(last100)  0.3593 | sigma 0.0242 | elapsed 5271.1s
step  1465000 | reward(last100)  0.3600 | sigma 0.0242 | elapsed 5287.2s
step  1470000 | reward(last100)  0.4710 | sigma 0.0242 | elapsed 5303.3s
step  1475000 | reward(last100)  0.4398 | sigma 0.0242 | elapsed 5319.3s
step  1480000 | reward(last100)  0.4581 | sigma 0.0242 | elapsed 5335.3s
step  1485000 | reward(last100)  0.4619 | sigma 0.0242 | elapsed 5351.4s
step  1490000 | reward(last100)  0.3579 | sigma 0.0242 | elapsed 5368.4s
step  1495000 | reward(last100)  0.4811 | sigma 0.0242 | elapsed 5390.0s
step  1500000 | reward(last100)  0.3384 | sigma 0.0242 | elapsed 5411.7s
step  1505000 | reward(last100)  0.3666 | sigma 0.0242 | elapsed 5430.1s
step  1510000 | reward(last100)  0.3831 | sigma 0.0242 | elapsed 5447.6s
step  1515000 | reward(last100)  0.4466 | sigma 0.0242 | elapsed 5465.9s
step  1520000 | reward(last100)  0.3746 | sigma 0.0242 | elapsed 5486.3s
step  1525000 | reward(last100)  0.4415 | sigma 0.0242 | elapsed 5506.1s
step  1530000 | reward(last100)  0.3308 | sigma 0.0242 | elapsed 5522.3s
step  1535000 | reward(last100)  0.4379 | sigma 0.0242 | elapsed 5540.0s
step  1540000 | reward(last100)  0.4135 | sigma 0.0242 | elapsed 5557.2s
step  1545000 | reward(last100)  0.3824 | sigma 0.0242 | elapsed 5573.6s
step  1550000 | reward(last100)  0.4737 | sigma 0.0242 | elapsed 5591.8s
step  1555000 | reward(last100)  0.3853 | sigma 0.0242 | elapsed 5608.4s
step  1560000 | reward(last100)  0.4357 | sigma 0.0242 | elapsed 5624.7s
step  1565000 | reward(last100)  0.3758 | sigma 0.0241 | elapsed 5642.5s
step  1570000 | reward(last100)  0.4534 | sigma 0.0241 | elapsed 5660.2s
step  1575000 | reward(last100)  0.3649 | sigma 0.0242 | elapsed 5676.8s
step  1580000 | reward(last100)  0.4553 | sigma 0.0241 | elapsed 5693.1s
step  1585000 | reward(last100)  0.4162 | sigma 0.0241 | elapsed 5709.5s
step  1590000 | reward(last100)  0.4929 | sigma 0.0241 | elapsed 5726.1s
step  1595000 | reward(last100)  0.3691 | sigma 0.0241 | elapsed 5744.5s
step  1600000 | reward(last100)  0.3541 | sigma 0.0241 | elapsed 5762.9s
step  1605000 | reward(last100)  0.4566 | sigma 0.0241 | elapsed 5784.9s
step  1610000 | reward(last100)  0.4732 | sigma 0.0241 | elapsed 5803.0s
step  1615000 | reward(last100)  0.4245 | sigma 0.0241 | elapsed 5821.2s
step  1620000 | reward(last100)  0.3790 | sigma 0.0241 | elapsed 5839.5s
step  1625000 | reward(last100)  0.3866 | sigma 0.0241 | elapsed 5859.6s
