step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    4.2s
step  1220000 | reward(last100)  0.0118 | sigma 0.0209 | elapsed 4574.2s
step  1225000 | reward(last100)  0.0118 | sigma 0.0206 | elapsed 4590.7s
step  1230000 | reward(last100)  0.0118 | sigma 0.0205 | elapsed 4607.1s
step  1235000 | reward(last100)  0.0000 | sigma 0.0203 | elapsed 4622.7s
step  1240000 | reward(last100)  0.0000 | sigma 0.0202 | elapsed 4637.4s
step  1245000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 4656.0s
step  1250000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 4674.7s
step  1255000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 4689.8s
step  1260000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 4704.5s
step  1265000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 4718.9s
step  1270000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4733.4s
step  1275000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4748.0s
step  1280000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4764.2s
step  1285000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4780.4s
step  1290000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4796.2s
step  1295000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4810.9s
step  1300000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4825.5s
step  1305000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4840.6s
step  1310000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4856.1s
step  1315000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4873.4s
step  1320000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4892.0s
step  1325000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4908.4s
step  1330000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4924.7s
step  1335000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4940.9s
step  1340000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4956.6s
step  1345000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4971.4s
step  1350000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 4986.1s
step  1355000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5003.0s
step  1360000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5017.8s
step  1365000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5032.6s
step  1370000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5047.4s
step  1375000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5062.3s
step  1380000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5077.6s
step  1385000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5093.9s
step  1390000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5112.6s
step  1395000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5129.5s
step  1400000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5144.8s
step  1405000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5162.8s
step  1410000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5180.1s
step  1415000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5197.6s
step  1420000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5214.2s
step  1425000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5230.1s
step  1430000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5246.0s
step  1435000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5262.4s
step  1440000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5279.5s
step  1445000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5296.5s
step  1450000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5313.7s
step  1455000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5330.0s
step  1460000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5346.0s
step  1465000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5362.8s
step  1470000 | reward(last100)  0.0000 | sigma 0.0196 | elapsed 5380.7s
step  1475000 | reward(last100)  0.0248 | sigma 0.0196 | elapsed 5398.5s
step  1480000 | reward(last100)  0.1148 | sigma 0.0196 | elapsed 5416.3s
step  1485000 | reward(last100)  0.1391 | sigma 0.0197 | elapsed 5434.1s
step  1490000 | reward(last100)  0.1464 | sigma 0.0197 | elapsed 5451.8s
step  1495000 | reward(last100)  0.1543 | sigma 0.0197 | elapsed 5468.9s
step  1500000 | reward(last100)  0.1543 | sigma 0.0197 | elapsed 5486.0s
step  1505000 | reward(last100)  0.1444 | sigma 0.0197 | elapsed 5502.2s
step  1510000 | reward(last100)  0.0891 | sigma 0.0196 | elapsed 5518.1s
step  1515000 | reward(last100)  0.0395 | sigma 0.0196 | elapsed 5534.0s
step  1520000 | reward(last100)  0.0152 | sigma 0.0196 | elapsed 5549.8s
step  1525000 | reward(last100)  0.0080 | sigma 0.0196 | elapsed 5565.6s
step  1530000 | reward(last100)  0.0000 | sigma 0.0195 | elapsed 5582.5s
step  1535000 | reward(last100)  0.0000 | sigma 0.0195 | elapsed 5598.8s
step  1540000 | reward(last100)  0.0000 | sigma 0.0195 | elapsed 5615.8s
step  1545000 | reward(last100)  0.0027 | sigma 0.0195 | elapsed 5632.6s
step  1550000 | reward(last100)  0.0027 | sigma 0.0195 | elapsed 5650.2s
step  1555000 | reward(last100)  0.0075 | sigma 0.0195 | elapsed 5667.7s
step  1560000 | reward(last100)  0.0138 | sigma 0.0195 | elapsed 5684.8s
step  1565000 | reward(last100)  0.0219 | sigma 0.0195 | elapsed 5702.5s
step  1570000 | reward(last100)  0.0219 | sigma 0.0195 | elapsed 5718.6s
step  1575000 | reward(last100)  0.0219 | sigma 0.0195 | elapsed 5734.4s
step  1580000 | reward(last100)  0.0241 | sigma 0.0195 | elapsed 5750.3s
step  1585000 | reward(last100)  0.0241 | sigma 0.0195 | elapsed 5766.2s
step  1590000 | reward(last100)  0.0241 | sigma 0.0195 | elapsed 5782.1s
step  1595000 | reward(last100)  0.0130 | sigma 0.0195 | elapsed 5798.1s
step  1600000 | reward(last100)  0.0050 | sigma 0.0195 | elapsed 5814.0s
step  1605000 | reward(last100)  0.0050 | sigma 0.0195 | elapsed 5830.4s
step  1610000 | reward(last100)  0.0050 | sigma 0.0194 | elapsed 5846.4s
step  1615000 | reward(last100)  0.0000 | sigma 0.0195 | elapsed 5862.6s
step  1620000 | reward(last100)  0.0000 | sigma 0.0194 | elapsed 5878.6s
step  1625000 | reward(last100)  0.0000 | sigma 0.0194 | elapsed 5894.6s
step  1630000 | reward(last100)  0.0000 | sigma 0.0195 | elapsed 5910.7s
step  1635000 | reward(last100)  0.0000 | sigma 0.0195 | elapsed 5926.8s
step  1640000 | reward(last100)  0.0000 | sigma 0.0195 | elapsed 5942.9s
step  1645000 | reward(last100)  0.0000 | sigma 0.0195 | elapsed 5959.1s
step  1650000 | reward(last100)  0.0080 | sigma 0.0195 | elapsed 5975.2s
step  1655000 | reward(last100)  0.0080 | sigma 0.0195 | elapsed 5991.8s
step  1660000 | reward(last100)  0.0505 | sigma 0.0195 | elapsed 6008.0s
step  1665000 | reward(last100)  0.0695 | sigma 0.0196 | elapsed 6024.2s
step  1670000 | reward(last100)  0.0820 | sigma 0.0196 | elapsed 6040.3s
