step     5000 | reward(last100)  0.0255 | sigma 0.0309 | elapsed    5.6s
step  1315000 | reward(last100)  0.1962 | sigma 0.0227 | elapsed 4727.2s
step  1320000 | reward(last100)  0.2495 | sigma 0.0227 | elapsed 4742.7s
step  1325000 | reward(last100)  0.2509 | sigma 0.0226 | elapsed 4758.1s
step  1330000 | reward(last100)  0.2742 | sigma 0.0226 | elapsed 4773.7s
step  1335000 | reward(last100)  0.3033 | sigma 0.0226 | elapsed 4789.2s
step  1340000 | reward(last100)  0.2803 | sigma 0.0226 | elapsed 4804.9s
step  1345000 | reward(last100)  0.2961 | sigma 0.0226 | elapsed 4820.6s
step  1350000 | reward(last100)  0.2637 | sigma 0.0226 | elapsed 4837.3s
step  1355000 | reward(last100)  0.2384 | sigma 0.0226 | elapsed 4857.7s
step  1360000 | reward(last100)  0.2562 | sigma 0.0226 | elapsed 4877.5s
step  1365000 | reward(last100)  0.2878 | sigma 0.0226 | elapsed 4898.1s
step  1370000 | reward(last100)  0.3218 | sigma 0.0226 | elapsed 4916.6s
step  1375000 | reward(last100)  0.3556 | sigma 0.0226 | elapsed 4933.9s
step  1380000 | reward(last100)  0.3832 | sigma 0.0226 | elapsed 4953.2s
step  1385000 | reward(last100)  0.3748 | sigma 0.0226 | elapsed 4973.2s
step  1390000 | reward(last100)  0.3502 | sigma 0.0226 | elapsed 4992.8s
step  1395000 | reward(last100)  0.3147 | sigma 0.0226 | elapsed 5012.4s
step  1400000 | reward(last100)  0.3226 | sigma 0.0226 | elapsed 5028.6s
step  1405000 | reward(last100)  0.3040 | sigma 0.0225 | elapsed 5046.3s
step  1410000 | reward(last100)  0.3168 | sigma 0.0225 | elapsed 5062.2s
step  1415000 | reward(last100)  0.3754 | sigma 0.0225 | elapsed 5078.0s
step  1420000 | reward(last100)  0.4276 | sigma 0.0225 | elapsed 5093.7s
step  1425000 | reward(last100)  0.4207 | sigma 0.0226 | elapsed 5109.5s
step  1430000 | reward(last100)  0.4495 | sigma 0.0225 | elapsed 5126.7s
step  1435000 | reward(last100)  0.4389 | sigma 0.0225 | elapsed 5144.2s
step  1440000 | reward(last100)  0.4034 | sigma 0.0225 | elapsed 5161.7s
step  1445000 | reward(last100)  0.3751 | sigma 0.0225 | elapsed 5179.2s
step  1450000 | reward(last100)  0.3140 | sigma 0.0225 | elapsed 5196.7s
step  1455000 | reward(last100)  0.2995 | sigma 0.0225 | elapsed 5214.4s
step  1460000 | reward(last100)  0.2519 | sigma 0.0225 | elapsed 5232.3s
step  1465000 | reward(last100)  0.3096 | sigma 0.0225 | elapsed 5253.2s
